rank,h_m,r_m,rel_az_deg,cam_c_h_m,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tilt_deg,n_subjects
64,4.5,5.0,180.0,4.5,0.7555490577068732,True,ok,False,0.7412491496853357,0.954034179026909,0.6470588235294118,66.57515305663956,93.66752992443645,71.28490143215869,12.0,10294.059566341728,1.0,64.01705000557779,96.02557500836669,48.01278750418334,48.01278750418334,34.99202019855866,1
65,3.0,3.5,150.0,6.5,0.7551489989294837,True,ok,False,0.6739124357029141,0.9155437373229061,0.7836134453781513,78.69576157347545,130.23344954323917,106.45229104567255,3.0,32231.011672729288,1.0,64.37978596182849,94.34194717549441,49.39870535499553,49.39870535499553,29.74488129694222,1
66,3.5,4.0,180.0,6.5,0.754585438992429,True,ok,False,0.6822137605831363,0.9392415330001027,0.7521008403361344,77.20152309503547,107.72054364990247,78.46727674525556,6.0,15771.809079021685,1.0,65.08543311238715,97.62814966858072,48.81407483429036,48.81407483429036,32.005383208083494,1
67,3.0,4.0,150.0,5.0,0.7543511760607078,True,ok,False,0.6849808658428582,0.9248499341837882,0.7563025210084033,76.70344414828553,121.39256252540125,100.55326460381755,6.0,15187.740975431068,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
68,4.5,5.0,180.0,5.5,0.7530783392547526,True,ok,False,0.6684627528298596,0.9282684276444918,0.7773109243697479,79.67670449062527,118.14499373773279,93.28382007646861,6.0,12761.317973970008,1.0,64.01705000557779,96.02557500836669,48.01278750418334,48.01278750418334,34.99202019855866,1
69,3.0,4.0,150.0,6.0,0.752888631005626,True,ok,False,0.7234297362739821,0.9159528479566199,0.6932773109243697,69.78264747068322,129.84479444121106,110.41632019592036,7.0,17740.52447528546,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
70,3.0,4.5,150.0,6.0,0.7523504529042415,True,ok,False,0.7353961758182368,0.9306147661520864,0.6617647058823529,67.62868835271738,115.91597215551792,98.39452624972603,8.0,14779.138744378964,1.0,73.19647780794178,106.9695684757849,56.309932474020215,56.309932474020215,23.962488974578182,1
71,3.0,4.5,180.0,6.0,0.7438356278409668,True,ok,False,0.7111917902646223,0.9359465627029424,0.6701680672268908,71.98547775236798,110.85076543220478,88.76261389669112,9.0,10287.682388379068,1.0,75.07990996536029,112.61986494804043,56.309932474020215,56.309932474020215,23.962488974578182,1
72,3.5,4.0,150.0,5.0,0.7417278220634537,True,ok,False,0.6775914664503631,0.9148705282249742,0.7331932773109243,78.03353603893464,130.87299818627451,108.1397150316184,6.0,20184.835180788334,1.0,63.629324047296734,93.2598224733095,48.81407483429036,48.81407483429036,32.005383208083494,1
73,4.0,4.0,180.0,4.5,0.7405490909380613,True,ok,False,0.6647949012174585,0.9283632436634669,0.7415966386554622,80.33691778085746,118.05491851970642,93.75970640248666,6.0,17298.92081256159,1.0,60.0,90.0,45.00000000000001,45.00000000000001,36.86989764584402,1
74,3.5,5.0,180.0,7.0,0.7396463853340862,True,ok,False,0.7015753772470019,0.9327388617041869,0.6743697478991597,73.71643209553964,113.8980813810225,91.89546841551382,8.0,12873.374357554521,1.0,73.34397306858845,110.01595960288267,55.00797980144133,55.00797980144133,26.56505117707799,1
75,3.0,4.5,180.0,4.0,0.739599740059442,True,ok,False,0.6850894979079083,0.9296026866198759,0.7037815126050421,76.68389037657651,116.877447711118,94.30830122380696,7.0,16262.694444884271,1.0,75.0799099653603,112.61986494804043,56.30993247402022,56.30993247402022,23.962488974578182,1
76,2.5,3.5,150.0,7.0,0.7393587356619681,True,ok,False,0.7296550836049489,0.9146727760201571,0.638655462184874,68.66208495110921,131.06086278085078,112.8499474693673,9.0,12815.745145375658,1.0,70.85077026732831,103.6276663859337,54.46232220802562,54.46232220802562,23.198590513648185,1
77,3.5,4.5,150.0,4.5,0.7374461988906478,True,ok,False,0.6871092067325558,0.935844532243698,0.6890756302521008,76.32034278813995,110.94769436848682,81.04418542864717,8.0,12096.52181854435,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
78,4.5,5.0,180.0,6.5,0.7335202879132341,True,ok,False,0.6883480453672818,0.9383279648034286,0.6722689075630253,76.09735183388928,108.58843343674276,80.7509939325689,8.0,13438.630465893224,1.0,64.01705000557779,96.02557500836669,48.01278750418334,48.01278750418334,34.99202019855866,1
79,3.0,4.0,180.0,6.5,0.732061779873205,True,ok,False,0.7082011946368317,0.9412765010092397,0.6323529411764707,72.5237849653703,105.78732404122228,79.66545444474787,9.0,13464.452440249543,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
80,3.5,4.0,180.0,3.5,0.7258522419773891,True,ok,False,0.7091157748937084,0.9363037054257837,0.6134453781512605,72.35916051913249,110.51147984550549,88.93569317364708,9.0,16144.350016039492,1.0,65.08543311238715,97.62814966858072,48.81407483429036,48.81407483429036,32.005383208083494,1
81,3.5,4.5,180.0,4.0,0.7256320205302964,True,ok,False,0.6178935925777184,0.9237622556609678,0.7731092436974789,88.7791533360107,122.4258571220806,97.15427197029942,5.0,21739.626393250786,1.0,69.50002179853574,104.2500326978036,52.1250163489018,52.1250163489018,29.054604099077146,1
82,3.5,5.0,180.0,6.0,0.7242530982852778,True,ok,False,0.6599151985939188,0.9284102680508359,0.6953781512605043,81.21526425309462,118.01024535170585,87.95996621090795,7.0,17461.92284787866,1.0,73.34397306858845,110.01595960288267,55.00797980144133,55.00797980144133,26.56505117707799,1
83,3.0,4.0,180.0,5.5,0.7225477418771777,True,ok,False,0.6674881245149087,0.9198587342330704,0.6827731092436975,79.85213758731643,126.13420247858316,102.05741991852335,7.0,21575.452707383836,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
84,3.5,4.0,150.0,4.0,0.7208003522119916,True,ok,False,0.6961457285992791,0.9371668513264658,0.6176470588235293,74.69376885212975,109.69149123985746,84.95546378485233,10.0,13531.417281694241,1.0,63.629324047296734,93.2598224733095,48.81407483429036,48.81407483429036,32.005383208083494,1
85,3.0,4.5,150.0,5.5,0.7196802449677493,True,ok,False,0.6726512994249169,0.9115208754361178,0.6701680672268908,78.92276610351497,134.05516833568814,110.42158958836684,7.0,22916.324876622104,1.0,73.19647780794178,106.9695684757849,56.30993247402022,56.30993247402022,23.962488974578182,1
86,2.5,3.5,150.0,5.0,0.7174364320476988,True,ok,False,0.6995440422157078,0.9244565084807372,0.6092436974789917,74.08207240117261,121.76631694329963,97.58830888205756,9.0,16950.55080315335,1.0,70.85077026732831,103.6276663859337,54.46232220802562,54.46232220802562,23.198590513648185,1
87,4.0,4.5,180.0,4.0,0.7169081777174715,True,ok,False,0.6487975636756979,0.9226310130115585,0.6932773109243697,83.21643853837439,123.50053763901944,101.79018494904165,6.0,31053.183784577177,1.0,64.4886142179064,96.73292132685961,48.3664606634298,48.3664606634298,33.690067525979785,1
88,4.0,4.5,180.0,6.0,0.7166317613844877,True,ok,False,0.6825800643169043,0.9218767133570681,0.6365546218487395,77.13558842295723,124.21712231078521,104.95139946136781,8.0,18271.19244395981,1.0,64.4886142179064,96.73292132685961,48.3664606634298,48.3664606634298,33.690067525979785,1
89,3.5,4.0,180.0,4.5,0.7157745664091508,True,ok,False,0.6878289917074868,0.9359810250459448,0.6155462184873949,76.19078149265238,110.81802620635247,88.41307688457557,10.0,14057.230654192052,1.0,65.08543311238715,97.62814966858072,48.81407483429036,48.81407483429036,32.005383208083494,1
