h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,96.96422961341207,58.911413601201964,76.82594691319828,0.05507246376811594,0.21545893719806763,1.0,1.0,1.0,1.0,1.0,0.0,11821.979961698893,8.0,7.0,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,116.63849277464884,81.08686676579957,86.51817783870025,0.06874427131072411,0.21952337305224565,1.0,1.0,1.0,1.0,1.0,0.0,22678.70514759801,11.0,3.5,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,109.69149123985746,74.69376885212975,84.95546378485233,0.06027397260273973,0.18812785388127853,1.0,1.0,1.0,1.0,1.0,0.0,13531.417281694241,10.0,4.0,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,93.29982398402552,56.90792026818614,74.83123762924195,0.056818181818181816,0.19318181818181818,1.0,1.0,1.0,1.0,1.0,0.0,3504.5839092316774,6.0,4.5,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,130.87299818627451,78.03353603893464,108.1397150316184,0.052037309769268535,0.18900343642611683,1.0,1.0,1.0,1.0,1.0,0.0,20184.835180788334,6.0,5.0,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,106.87722676169095,65.36487138233483,89.48474045074302,0.047549019607843135,0.15931372549019607,1.0,1.0,1.0,1.0,1.0,0.0,7952.708452374692,9.0,5.5,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,143.38070043406503,93.84120929727739,110.982248860275,0.05110565110565111,0.15085995085995085,1.0,1.0,1.0,1.0,1.0,0.0,34547.49178463074,8.0,6.0,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,108.41859760935266,68.1096375181813,87.73696579056136,0.06377799415774099,0.18792599805258034,1.0,1.0,1.0,1.0,1.0,0.0,10621.591178123002,4.0,6.5,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.5,4.0,150.0,32.005383208083494,63.629324047296734,center,131.29183535738326,88.2664823683353,99.08720160911298,0.04527750730282376,0.1611489776046738,1.0,1.0,1.0,1.0,1.0,0.0,34325.135463487546,8.0,7.0,1.0,0.0,93.2598224733095,48.81407483429036,48.81407483429036
3.0,4.5,150.0,23.962488974578182,73.19647780794178,center,110.59222404576599,64.20944820847834,92.61914021608621,0.050597976080956765,0.17893284268629256,1.0,1.0,1.0,1.0,1.0,0.0,8427.51312923823,9.0,3.5,1.0,0.0,106.9695684757849,56.309932474020215,56.309932474020215
