h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,cam_c_az_deg,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,detect_rate_cam_a,detect_rate_cam_b,detect_rate_cam_c,detect_rate_front,detect_rate_back,longest_blind_gap_s
3.5,4.5,150.0,29.054604099077146,71.2368881423525,center,91.51532464226032,52.82306740707304,74.64514816927475,0.03480825958702065,0.1640117994100295,1.0,1.0,1.0,1.0,1.0,0.0,2758.255471635798,3.0,nan,60.0,1.0,0.0,99.36233448138768,46.491550647117855,67.85677929855197,1.0,0.6637168141592921,0.5486725663716814,0.45132743362831856,0.45132743362831856,0.9292035398230089,0.0
3.5,4.5,150.0,29.054604099077146,71.2368881423525,center,92.5599302823812,59.98922673670734,68.60478759931712,0.04152046783625731,0.17017543859649123,1.0,1.0,1.0,1.0,1.0,0.0,5401.045190766588,2.0,nan,90.0,1.0,0.0,99.36233448138768,67.85677929855194,46.49155064711787,1.0,0.6491228070175439,0.5,0.3684210526315789,0.4649122807017544,0.8771929824561403,0.0
3.5,4.5,150.0,29.054604099077146,71.41389666889656,center,100.30833869227237,69.24085392232487,73.9428815484079,0.034972677595628415,0.17595628415300546,1.0,1.0,1.0,1.0,1.0,0.0,17851.004829413712,5.0,nan,75.0,1.0,0.0,99.36233448138768,57.439677762650994,57.439677762650994,0.9918032786885246,0.6475409836065574,0.5737704918032787,0.38524590163934425,0.5,0.8770491803278688,0.1643648344623156
3.5,4.5,150.0,29.054604099077146,70.69077984098136,center,90.70059725573624,53.15587549291517,74.34131944369572,0.03579175704989154,0.17516268980477223,1.0,1.0,1.0,1.0,1.0,0.0,2520.6649083579064,0.0,nan,45.0,1.0,0.0,99.36233448138768,35.16419157825874,77.54581346329768,0.967479674796748,0.6585365853658537,0.6422764227642277,0.4796747967479675,0.5203252032520326,0.8780487804878049,0.1630003686811103
3.5,4.0,150.0,32.005383208083494,67.25656822793341,center,109.37479989478011,63.52566636302767,87.78399921761141,0.040983606557377046,0.12786885245901639,1.0,1.0,1.0,1.0,1.0,0.0,4613.316655073619,2.0,nan,60.0,1.0,0.0,93.2598224733095,44.20792594301601,64.30195626747476,1.0,0.6967213114754098,0.6967213114754098,0.4344262295081967,0.5737704918032787,0.9262295081967213,0.0
3.5,4.0,150.0,32.005383208083494,78.63159131150167,center,116.10363880867564,69.43264539226126,94.65605910951935,0.02880184331797235,0.09907834101382489,1.0,1.0,1.0,1.0,1.0,0.0,6446.321981226421,3.0,nan,225.0,1.0,0.0,93.2598224733095,88.10069460064946,54.534256860546044,1.0,0.6551724137931034,0.6120689655172413,0.75,0.9051724137931034,0.8620689655172413,0.0
3.5,4.0,150.0,32.005383208083494,66.6851040582755,center,89.01612132687026,54.54212214003655,71.34479308173697,0.05500292568753657,0.22001170275014628,1.0,1.0,1.0,1.0,1.0,0.0,3271.9067768734703,3.0,nan,45.0,1.0,0.0,93.2598224733095,33.4763499033478,73.31913979816919,0.9912280701754386,0.7192982456140351,0.6842105263157895,0.5701754385964912,0.5087719298245614,0.9912280701754386,0.17663147597186332
3.5,4.0,150.0,32.005383208083494,76.90919029654499,center,85.51735904661571,65.23641809260396,56.78447506379553,0.09649122807017543,0.2742690058479532,1.0,1.0,1.0,1.0,1.0,0.0,6031.521739182399,3.0,nan,210.0,1.0,0.0,93.2598224733095,93.2598224733095,44.20792594301601,0.9824561403508771,0.7368421052631579,0.6578947368421053,0.6842105263157895,0.9122807017543859,0.8859649122807017,0.17561016884525266
3.0,4.5,150.0,23.962488974578182,76.2329412439954,center,90.26268810766686,53.107034550045114,70.19987072384426,0.05604719764011799,0.1929203539823009,1.0,1.0,1.0,1.0,1.0,0.0,6868.014155132146,1.0,nan,75.0,1.0,0.0,106.9695684757849,60.86462762810064,60.86462762810065,1.0,0.6991150442477876,0.6106194690265486,0.45132743362831856,0.504424778761062,0.9380530973451328,0.0
3.0,4.5,150.0,23.962488974578182,76.07237943630786,center,81.30985290840795,46.586600048855125,66.39160838698248,0.04502923976608187,0.204093567251462,1.0,1.0,1.0,1.0,1.0,0.0,1621.5539809909512,3.0,nan,60.0,1.0,0.0,106.9695684757849,49.16778297253096,72.07978686060773,1.0,0.7280701754385965,0.6754385964912281,0.4824561403508772,0.5263157894736842,0.9912280701754386,0.0
3.0,4.5,150.0,23.962488974578182,76.07237943630786,center,89.52120976139605,48.807800970042294,74.53871901198615,0.04502923976608187,0.17134502923976608,1.0,1.0,1.0,1.0,1.0,0.0,1981.2482414379201,0.0,nan,90.0,1.0,0.0,106.9695684757849,72.07978686060771,49.167782972530965,1.0,0.7105263157894737,0.6578947368421053,0.47368421052631576,0.5263157894736842,0.956140350877193,0.0
3.0,4.5,150.0,23.962488974578182,75.57329725667245,center,82.86334347562726,43.9019654027395,69.92678336411619,0.03274853801169591,0.16842105263157894,1.0,1.0,1.0,1.0,1.0,0.0,1194.910142431432,1.0,nan,45.0,1.0,0.0,106.9695684757849,37.13381644241227,82.61650685182018,1.0,0.6578947368421053,0.6403508771929824,0.631578947368421,0.5175438596491229,0.9298245614035088,0.0
3.0,4.5,180.0,23.962488974578182,85.36699980932042,center,78.81948666239384,54.225719960537646,57.941517286909644,0.08830409356725147,0.2742690058479532,1.0,1.0,1.0,1.0,1.0,0.0,2730.0054505461794,0.0,nan,285.0,1.0,0.0,112.61986494804043,60.86462762810066,82.61650685182015,0.9824561403508771,0.6929824561403509,0.6403508771929824,0.5526315789473685,0.9736842105263158,0.7368421052631579,0.17643960176315981
3.0,4.5,180.0,23.962488974578182,85.36699980932042,center,79.11487429166172,49.84587093103732,62.313408147626554,0.0759860788863109,0.2470997679814385,1.0,1.0,1.0,1.0,1.0,0.0,1328.317793048714,3.0,nan,255.0,1.0,0.0,112.61986494804043,82.61650685182016,60.86462762810065,1.0,0.6782608695652174,0.6260869565217392,0.6347826086956522,0.9565217391304348,0.7391304347826086,0.0
