h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops
2.5,5.0,60,16.69924423399362,53.13010235415599,center,92.57685406613955,58.18177322864002,70.80969893771334,0.018172611679981996,0.1183188927647125,1.0,1.0,1.0,1.0,1.0,0.0,2308.3314778598956,1.0
2.5,5.0,90,16.69924423399362,78.46304096718451,center,107.1444433885874,60.34385743647377,88.54332985632995,0.01840628507295174,0.10129068462401795,1.0,1.0,1.0,1.0,1.0,0.0,8252.104066046646,2.0
2.5,5.0,120,16.69924423399362,101.53695903281547,center,116.79982413309479,57.43643171779277,103.07458734444174,0.02795518207282913,0.11753501400560223,1.0,1.0,1.0,1.0,1.0,0.0,3612.7064117049626,17.0
2.5,5.0,150,16.69924423399362,119.52612239367902,center,111.67405991425913,59.213795631600696,94.30525262621036,0.0461495222034851,0.14851039910061833,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,3259.390496738796,0.0
3.0,2.5,60,38.659808254090095,37.337001659844645,center,137.229125212725,101.91709155546823,105.66522767078494,0.015154038301415488,0.10263669164585068,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,42395.87353823031,8.0
3.0,2.5,90,38.659808254090095,53.831357652421254,center,127.29016264591148,93.09383285514059,93.20183683536051,0.03161047027506655,0.15034383318544808,1.0,1.0,1.0,1.0,1.0,0.0,41899.10439488773,13.0
3.0,2.5,120,38.659808254090095,67.34099301663021,center,131.38466693946438,84.20143784635209,106.05666590893654,0.045945796153632985,0.15618245302887546,1.0,1.0,1.0,1.0,1.0,0.0,55829.574136481984,8.0
3.0,2.5,150,38.659808254090095,76.3944954800035,center,190.52374778723808,82.84736273513262,165.83508670697944,0.08139983466519703,0.23168917057040508,1.0,1.0,1.0,1.0,1.0,0.0,260528.81678649492,12.0
3.0,2.5,180,38.659808254090095,79.61114218453038,center,102.13489846593309,68.70817304552506,80.50849095297535,0.07130617434083246,0.21314465756453485,1.0,1.0,1.0,1.0,1.0,0.0,10373.242145947406,7.0
3.0,3.0,60,33.690067525979785,41.40962210927084,center,110.45316768722222,69.81356775822961,87.87125567675967,0.014194973764153549,0.08450704225352113,1.0,1.0,1.0,1.0,1.0,0.0,7917.3434097801055,10.0
3.0,3.0,90,33.690067525979785,59.99999999999999,center,107.86499209883034,73.71772508419026,83.03761323424588,0.03025618374558304,0.15431757950530034,1.0,1.0,1.0,1.0,1.0,0.0,13225.042754138778,6.0
3.0,3.0,120,33.690067525979785,75.52248781407006,center,103.93590645553647,70.55324178387232,83.01070588054837,0.06096144271726503,0.18437793881728162,1.0,1.0,1.0,1.0,1.0,0.0,8121.486672926951,6.0
3.0,3.0,150,33.690067525979785,86.15903428374187,center,89.20963061038184,54.18960290567497,73.57368363390157,0.07864726700747149,0.2298185495196899,1.0,1.0,1.0,1.0,1.0,0.0,3031.476312007861,0.0
3.0,3.0,180,33.690067525979785,90.0,center,84.62976744356274,52.14828259777173,70.09573856557408,0.08369028006589786,0.24102141680395386,1.0,1.0,1.0,1.0,1.0,0.0,2589.2772487836273,9.0
3.0,3.5,60,29.74488129694222,44.62132136407958,center,102.66410196426887,63.45425120287092,81.64045056310358,0.016555183946488295,0.09632107023411371,1.0,1.0,1.0,1.0,1.0,0.0,5312.304089591298,16.0
3.0,3.5,90,29.74488129694222,64.94238458169698,center,102.70674349294293,61.052895291577435,84.54447646333126,0.022185154295246038,0.11948846260772866,1.0,1.0,1.0,1.0,1.0,0.0,4007.5589481145953,5.0
3.0,3.5,120,29.74488129694222,82.22437237487944,center,104.84640045081333,66.54867138481895,85.60468778261944,0.04983221476510067,0.1733221476510067,1.0,1.0,1.0,1.0,1.0,0.0,7687.511024614899,9.0
3.0,3.5,150,29.74488129694222,94.34194717549441,center,92.79989093010433,50.73326291759642,78.98274076088633,0.07014599765061252,0.20568328019242602,1.0,1.0,1.0,1.0,1.0,0.0,2649.266748708169,1.0
3.0,3.5,180,29.74488129694222,98.79741070999107,center,87.15440937416292,48.75881474326575,73.47741104483029,0.06962590731434952,0.21943048576214405,1.0,1.0,1.0,1.0,1.0,0.0,2013.89750531956,0.0
3.0,4.0,60,26.56505117707799,47.15635695640366,center,103.19982339762828,62.579560345464465,81.18487398056004,0.01625651662088682,0.10331296597342901,1.0,1.0,1.0,1.0,1.0,0.0,61516.213291085674,5.0
3.0,4.0,90,26.56505117707799,68.89980397590698,center,104.77677648705736,58.12576893998195,88.42349574208423,0.017890295358649787,0.109929676511955,1.0,1.0,1.0,1.0,1.0,0.0,3081.3912745678813,5.0
3.0,4.0,120,26.56505117707799,87.70755722404411,center,101.53719632393903,59.87030910504182,84.97063226448013,0.04823529411764706,0.16414565826330532,1.0,1.0,1.0,1.0,1.0,0.0,4987.140353990224,2.0
3.0,4.0,150,26.56505117707799,101.20127956205536,center,94.62666445579099,50.41956452763004,80.54818631414601,0.06247555183012014,0.19888236937692091,1.0,1.0,1.0,1.0,1.0,0.0,2463.098534440652,0.0
3.0,4.0,180,26.56505117707799,106.26020470831197,center,84.10877262617899,49.052442946889016,68.73493709128566,0.07154471544715447,0.22158676759181384,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,1638.3234327213324,0.0
3.0,4.5,90,23.962488974578182,72.07978686060771,center,102.37550441549963,61.286348734655114,83.33944008197854,0.024299377224199288,0.12561165480427047,1.0,1.0,1.0,1.0,1.0,0.0,4902.100923781044,3.0
3.0,4.5,120,23.962488974578182,92.20422750397204,center,109.51678367465122,56.49739220138015,95.31501093291844,0.03616687226645733,0.13754625995289896,1.0,1.0,1.0,1.0,1.0,0.0,5703.383775130626,5.0
3.0,4.5,150,23.962488974578182,106.9695684757849,center,90.7857252009278,50.7122052545916,75.11237022111736,0.06409106201637323,0.20141303128854995,1.0,1.0,1.0,1.0,1.0,0.0,2194.9511573886125,0.0
3.0,4.5,180,23.962488974578182,112.61986494804043,center,86.51542373556326,50.13276333607602,70.73901137782516,0.06678619453160017,0.21268489466606902,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,1849.1424606477979,1.0
3.0,5.0,60,21.80140948635181,50.776067601399546,center,97.99528828969407,59.81500891815881,76.370898086854,0.017950889077053344,0.11148744002257974,1.0,1.0,1.0,1.0,1.0,0.0,10332.425760896374,2.0
3.0,5.0,90,21.80140948635181,74.65052298299187,center,108.06064846833954,60.393421629483704,90.91062663495707,0.019304152637485972,0.10925925925925926,1.0,1.0,1.0,1.0,1.0,0.0,3478.7321875592093,5.0
3.0,5.0,120,21.80140948635181,95.90856184597654,center,104.10778436833199,56.99040845626089,88.86576960136996,0.03880011213905243,0.14303336136809644,1.0,1.0,1.0,1.0,1.0,0.0,3279.4491317517636,2.0
3.0,5.0,150,21.80140948635181,111.84379943901526,center,95.72121147919762,52.841948110659935,79.2011884787054,0.06359060402684563,0.1878076062639821,1.0,1.0,1.0,1.0,1.0,0.0,3186.8150526978598,9.0
3.5,3.0,60,39.8055710922652,37.97909853282036,center,118.93016068461843,81.92230764118658,90.88721660559314,0.013669064748201438,0.08129496402877698,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,12570.628476269008,5.0
3.5,3.0,90,39.8055710922652,54.79731643181306,center,150.40605488705208,93.67239679875006,118.74822885083285,0.03561583416032639,0.15420663799757414,1.0,1.0,1.0,1.0,1.0,0.0,189309.34270760205,16.0
3.5,3.0,120,39.8055710922652,68.61051667381506,center,117.83146839555125,82.89775548319359,94.8613674651829,0.06342425238251725,0.19596889034943588,1.0,1.0,1.0,1.0,1.0,0.0,29320.883311602138,7.0
3.5,3.0,150,39.8055710922652,77.89620311073523,center,91.07356876793558,60.10973631088277,73.94762595313804,0.08331959329486123,0.2435834020335257,1.0,1.0,1.0,1.0,1.0,0.0,3659.513057228489,1.0
3.5,3.0,180,39.8055710922652,81.20258929000894,center,93.87346678496219,58.17579679326115,78.07086978164132,0.08804616652926628,0.2528716680406705,1.0,1.0,1.0,1.0,1.0,0.0,24200.122592692853,13.0
3.5,3.5,60,35.53767779197438,41.40962210927086,center,114.0026724810895,74.39565801539655,87.3214194183593,0.015952143569292122,0.10379971197518556,1.0,1.0,1.0,1.0,1.0,0.0,29772.68926986867,12.0
3.5,3.5,90,35.53767779197438,60.00000000000001,center,109.19191352855034,76.68514661712652,83.50691710047073,0.03232888742521543,0.14682474339974752,1.0,1.0,1.0,1.0,1.0,0.0,13204.19887578015,12.0
3.5,3.5,120,35.53767779197438,75.52248781407006,center,105.23035264098439,67.45324284459019,86.75199826832093,0.06347100127163156,0.19229280698844473,1.0,1.0,1.0,1.0,1.0,0.0,19650.082978646962,5.0
3.5,3.5,150,35.53767779197438,86.15903428374187,center,85.4614658877618,53.60452298523485,69.71680755638113,0.08436315702751689,0.2446311858076564,1.0,1.0,1.0,1.0,1.0,0.0,2332.2549097448923,1.0
